,price,beds,bedrooms,bathrooms,zipcode,neighbourhood,property_type,room_type,accommodates,guests_included,minimum_nights,instant_bookable
0,122.0,3,2.0,2.0,90230.0,Culver City,Condominium,Entire home/apt,6,3,30,0
1,168.0,3,3.0,1.0,91505.0,Burbank,House,Entire home/apt,6,6,2,1
2,79.0,1,1.0,1.5,90046.0,Hollywood,Apartment,Private room,1,1,30,1
3,140.0,1,1.0,1.0,90405.0,Santa Monica,Apartment,Private room,1,1,1,0
4,80.0,1,1.0,1.0,90706.0,Bellflower,Apartment,Entire home/apt,2,1,2,0
5,75.0,1,1.0,1.0,90066.0,Del Rey,Tiny house,Private room,2,1,30,1
6,105.0,2,1.0,1.0,90066.0,Del Rey,Guesthouse,Private room,3,2,30,1
7,303.0,2,2.0,1.0,90066.0,Del Rey,House,Entire home/apt,5,2,1,1
8,85.0,1,1.0,1.0,91367.0,Woodland Hills/Warner Center,Villa,Private room,2,2,3,1
9,99.0,1,1.0,1.5,90046.0,Hollywood,Apartment,Private room,1,1,30,1
10,48.0,1,1.0,1.0,90706.0,Bellflower,House,Private room,2,1,1,1
11,70.0,2,1.0,1.0,90039.0,Atwater Village,Guesthouse,Entire home/apt,4,2,31,1
12,129.0,1,1.0,1.0,90211.0,Beverly Hills,Apartment,Private room,2,2,30,0
13,121.0,1,0.0,1.0,90291.0,Venice,Guesthouse,Entire home/apt,2,1,3,0
14,90.0,1,1.0,1.5,90802.0,Long Beach,Loft,Private room,2,1,2,1
15,85.0,1,1.0,1.0,90291.0,Venice,Apartment,Private room,1,1,30,0
16,70.0,1,1.0,1.0,90277.0,Redondo Beach,House,Private room,1,1,30,0
17,74.0,2,1.0,2.0,90019.0,Mid-Wilshire,Apartment,Private room,2,1,30,0
18,80.0,1,1.0,1.0,90247.0,Gardena,Hotel,Private room,2,2,1,1
19,90.0,2,0.0,1.0,90291.0,Venice,Bungalow,Entire home/apt,2,1,30,0
20,145.0,3,2.0,1.0,90036.0,Mid-Wilshire,Apartment,Entire home/apt,5,4,2,0
21,175.0,2,1.0,1.0,90277.0,Redondo Beach,Guesthouse,Entire home/apt,4,2,30,0
22,275.0,1,1.0,1.0,90068.0,Hollywood,Apartment,Entire home/apt,2,2,4,0
23,175.0,1,1.0,1.0,90277.0,Redondo Beach,Bungalow,Entire home/apt,4,2,30,0
24,95.0,1,1.0,1.0,90039.0,Elysian Valley,Guest suite,Entire home/apt,2,1,5,0
